form	POS
biya	v.n
jula	v.perf.past
||	punc

tāra	v.perf.past
rācakiva	v.np
dhakaṃ	v.dhak
dhāyāva	cv.ant
tāra	v.perf.past
rācakaraṃ	v.perf.past
.	punc

bhinagū	n
dina	n
svacakāva	cv.ant
bibahāra	n
yātaṃ	v.perf.past
||	punc

thana	n
cha	num
nhu	cs.time
yā	case.gen
dina	n
sa	case.loc.inan
thva	d.dem
rānicā	n
na	case.erg
.	punc

thava	p.refl
māma	n
yā	case.gen
fn25	fol
ṅhevane	post.gen
dhāraṃ	v.perf.past
.	punc

bho	interj
māmaju	n
thva	d.dem
mijana	n
rājā	n
ma	neg
ṣu	v.impst
.	punc

mijanabeśa	n
strī	n
yā	case.gen
(fn6b)	fol
svabhāba	n
dhakaṃ	v.dhak
māma	n
yā	case.gen
ṅhevane	post.gen
dhālaṃ	v.perf.past
.	punc

thana	n
rānīcā	n
duḥkha	n
cāsyaṃ	v.co
conaṃ	v.perf.past
.	punc

thana	n
māmanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
putrī	n
cha	p.pers
jñāya	v.n
mu	neg
mvāle	v.n
.	punc

chana	p.pers
babuju	n
yāke	case.loc.an
nyane	v.n
makhā	adv.man
dhakaṃ	v.dhak
bodha	n
biyāva	cv.ant
.	punc

thva	d.dem
rānīnaṃ	adv.conj
rājā	n
yā	case.gen
ṅhavane	post.gen
dhālaṃ	v.perf.past
||	punc

bho	interj
prabhu	n
sa	case.loc.inan
chalapola	p.pers
yā	case.gen
putrīnaṃ	adv.man
khosya	v.co
khosyaṃ	v.co
dhāla	v.impst
.	punc

thva	d.dem
puruṣa	n
ma	neg
ṣu	v.impst
.	punc

gathya	adv.inter
jula	v.perf.past
.	punc

strī	n
yā	case.gen
svabhāba	n
dhakaṃ	v.dhak
dhāva	v.impst
.	punc

gathya	adv.inter
yāya	v.n
dhāyāva	cv.ant
.	punc

thana	n
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
rānī	n
sa	case.loc.inan
cha	num
sumuka	n
ni	cl.focus
cova	cv.ant
.	punc

jinaṃ	adv.conj
ṅane	v.n
makhā	adv.man
dhaka	v.dhak
dhāyāva	cv.ant
rāni	n
vanaṃ	v.perf.past
.	punc

thana	n
rājā	n
na	case.erg
jiri	n
boṅāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
chi	num
rājakumāra	n
.	punc

chī	adv.dur
*dhaṃdiyata	adj
bastra	n
na	case.erg
toka	n
.	punc

chāna	adv.inter
ma	neg
to	v.impst
yā	case.gen
.	punc

misā	n
lā	n
cha	num
chu	p.interrog
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
jirinaṃ	adv.conj
dhāraṃ	v.perf.past
.	punc

bho	interj
babuju	n
.	punc

nyahune	v.n
.	punc

ji	p.pers
bārānasī	n
tīrtha	n
śibā	n
juyā	v.perf.part
bela	n
sa	case.loc.inan
.	punc

kāmakrīḍā	n
da	cs.time
daṃ	n
chi	num
tolatāva	cv.ant
tayā	v.perf.part
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

rājā	n
na	case.erg
rāniyāta	n
bodha	n
yātaṃ	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
.	punc

thva	d.dem
rājācā	n
na	case.erg
koṭabāra	n
boṅāva	cv.ant
lapāra	n
talaṃ	v.perf.past
||	punc

rājā	n
na	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
koṭabāra	n
thana	n
suṃ	p.indef
deśi	n
paradeśi	n
valasā	cv.cond
.	punc

boṅaṃ	adv.conj
haya	v.n
māla	v.perf.past
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

lapāla	n
talaṃ	v.perf.past
||	punc

cha	num
nhu	num.time
yā	case.gen
dīna	n
sa	case.loc.inan
.	punc

thva	d.dem
khu	v.impst
ni	num
mha	cs.anim
vava	v.impst
julo	v.perf.past
.	punc

lapāla	n
coṅamhanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
mahāpuruṣa	n
pani	case.abs.h.pl
jimi	n
rājā	n
naṃ	case.erg
hāṅaṃ	v.co
tava	adj
.	punc

thana	n
sunu	v.ipv
valasā	cv.cond
boṅaṃ	v.co
hiva	v.np
dhakaṃ	v.dhak
hāṅaṃ	v.co
tava	adj
.	punc

chī	interj
jhāsane	v.n
dhakaṃ	v.dhak
boṅaṃ	n
yanaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

thva	d.dem
mahāpuruṣa	n
boṅaṃ	v.co
haya	v.perf.past
dhuno	v.perf.past
.	punc

kāva	cv.ant
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thana	n
rājācānaṃ	v.perf.past
ṅanaṃ	v.perf.past
.	punc

bho	interj
mahāpuruṣa	n
chu	p.interrog
nimittina	post.abs
vayā	v.perf.part
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
panisenaṃ	case.erg.h.pl
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

ji	p.pers
pani	case.abs.h.pl
nimhasye	v.n
na	case.erg
svasyaṃ	v.co
coṅā	v.perf.part
khu	v.impst
cha	num
mha	cs.anim
sena	case.erg.h
misā	n
cha	num
mha	cs.anim
khusyaṃ	v.co
hava	v.impst
.	punc

ji	p.pers
pani	case.abs.h.pl
nimhasenaṃ	adv.conj
lāsyaṃ	v.co
kāyā	v.perf.part
||	punc

thva	d.dem
misānaṃ	adv.conj
jipi	n
ni	num
mhaṃ	cs.anim
tuṃthi	n
sa	case.loc.inan
ku	n
tika	n
tāthāva	cv.ant
.	punc

thva	d.dem
misā	n
bise	v.co
vala	v.perf.past
||	punc

thva	d.dem
misā	n
māle	v.n
dhaka	v.dhak
vayā	v.perf.part
.	punc

bicāra	n
yāya	v.n
māla	v.perf.past
dhakaṃ	v.dhak
vayā	v.perf.part
.	punc

jiva	p.pers
khya	p.correl
dhakaṃ	v.dhak
mikhābhāba	n
yānāva	cv.ant
.	punc

śalagala	n
sa	case.loc.inan
kuṅa	v.impst
yanaṃ	v.perf.past
||	punc

fn26	fol
punarbāra	adv.conj
hana	n
cha	num
mha	cs.anim
mahāpuruṣa	n
vala	v.perf.past
.	punc

lapāla	n
coṅa	v.impst
māhānanaṃ	v.perf.past
boṅaṃ	v.perf.past
yanyāva	cv.ant
bilaṃ	v.perf.past
.	punc

punarbāra	adv.conj
vamha	p.correl
yāke	case.loc.an
rājā	n
naṃ	case.erg
ṅanā	v.perf.part
.	punc

bho	interj
mahāpuruṣa	n
cha	p.pers
(fn7a)	fol
chāya	adv.inter
vayā	v.perf.part
.	punc

chana	p.pers
chu	p.interrog
chu	p.interrog
kha	n
dava	v.impst
dhakaṃ	v.dhak
ṅanaṃ	v.perf.past
||	punc

thva	d.dem
puruṣa	n
na	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
.	punc

ji	p.pers
na	case.erg
misā	n
cha	num
mha	cs.anim
ṣu	n
syaṃ	case.erg.h
ha	n
yā	case.gen
.	punc

meba	adj
ṣu	num
nimhase	n
na	case.erg
lāsyaṃ	v.co
kāla	n
.	punc

thva	d.dem
māle	v.n
dhaka	v.dhak
vayā	v.perf.part
.	punc

chalapolasye	n
na	case.erg
bicāra	n
yāṅaṃ	v.perf.past
biya	v.n
māla	v.perf.past
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

jiva	p.pers
khya	p.correl
dhakaṃ	v.dhak
mikhābhāva	cv.ant
yānāva	cv.ant
cha	num
guli	cs.inan
śaragala	n
sa	case.loc.inan
kuṅa	v.impst
yanaṃ	v.perf.past
||	punc

thana	n
māhānanaṃ	v.perf.past
inālapā	v.perf.part
.	punc

bho	interj
mahārājā	n
.	punc

āva	adv.temp
jukva	v.rel.part
haya	v.n
ma	neg
chālā	v.impst
.	punc

hako	interj
hako	interj
kunyāva	cv.ant
talo	v.perf.past
.	punc

gathya	adv.inter
haya	v.n
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
māhāna	n
.	punc

āva	adv.temp
kunya	v.n
ma	neg
khuto	v.perf.past
.	punc

boṅaṃ	adv.conj
haya	v.n
māla	v.perf.past
dhaka	v.dhak
dhālaṃ	v.perf.past
||	punc

thana	n
hakanaṃ	adv.freq
.	punc

cha	num
mha	cs.anim
vava	v.impst
māhānanaṃ	v.perf.past
du	v.impst
boṅaṃ	v.perf.past
yanaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
kāsya	adv.dir
bijyāhune	v.ipv
dhakaṃ	v.dhak
nāpa	post.abs
rācakāva	cv.ant
bilaṃ	v.perf.past
.	punc

thana	n
rājā	n
naṃ	case.erg
ṅanaṃ	v.perf.past
.	punc

bho	interj
puruṣa	n
.	punc

chana	p.pers
kha	n
gathya	adv.inter
gathya	adv.inter
khava	v.impst
dhakaṃ	v.dhak
nenaṃ	v.perf.past
||	punc

thana	n
mahāpuruṣanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
ji	p.pers
phale	v.n
dyeṅaṃ	v.perf.past
con	v.perf.past
yā	case.gen
bela	n
sa	case.loc.inan
ṅheda	n
na	case.erg
cyāṅāva	cv.ant
sva	num
yā	case.gen
.	punc

śaḍa	n
ma	neg
du	v.impst
khanyāva	cv.ant
.	punc

mahāduḥkha	n
na	case.erg
.	punc

thva	d.dem
rājye	n
sa	case.loc.inan
māla	v.perf.past
vayā	v.perf.part
dhaka	v.dhak
dhālaṃ	v.perf.past
.	punc

thva	d.dem
thava	p.refl
puruṣa	n
khava	v.impst
bhālapāva	cv.ant
.	punc

karuṇā	n
cāyāva	cv.ant
.	punc

thava	p.refl
dāsīja	n
na	case.erg
sakaleṃ	d.quant
pi	adv.dir
chosyaṃ	v.co
hayāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
prabhu	n
sa	case.loc.inan
.	punc

ji	p.pers
siva	cv.ant
ni	interj
lā	cl.inter
dhakaṃ	v.dhak
nyenaṃ	v.perf.past
.	punc

thana	n
mahāpuruṣanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
chī	n
.	punc

chī	n
su	p.interrog
juyiva	v.np
.	punc

ji	p.pers
na	case.erg
ma	neg
siyā	v.perf.part
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
rājā	n
yāṅaṃ	v.perf.past
coṅamhanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

chīkara	n
yā	case.gen
strī	n
thukā	evid
ji	p.pers
.	punc

ji	p.pers
puruṣa	n
chalapora	n
thukā	evid
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

samasta	d.quant
bṛttāntakha	n
kanyāva	cv.ant
.	punc

bhoka	n
puyāva	cv.ant
bhiṃgu	n
basta	n
na	case.erg
tiyakāva	cv.ant
.	punc

thva	d.dem
ṣuto	v.perf.past
keṅāva	cv.ant
.	punc

sabhā	n
dayakāva	cv.ant
.	punc

rānīcā	n
bonakala	n
chotaṃ	v.perf.past
.	punc

rānīcā	n
vayava	cv.ant
.	punc

nāpa	post.abs
rācakāva	cv.ant
.	punc

mijanabhe	n
sa	case.loc.inan
tatājunaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
rānīcā	n
.	punc

ji	p.pers
kha	n
ṅava	cv.ant
.	punc

thvasapola	n
lā	cl.inter
jurasā	cv.cond
rājā	n
thukā	evid
ji	p.pers
prabhusvāmi	n
.	punc

thva	d.dem
yā	case.gen
nimittī	n
na	case.erg
ji	p.pers
thathya	adv.man
juyā	v.perf.part
.	punc

āva	adv.temp
chinaṃ	p.indef
jinaṃ	v.perf.past
.	punc

thvasapola	n
yā	case.gen
kalāta	n
jusyaṃ	v.co
sukhanaṃ	v.perf.past
fn27	fol
conya	adj
dhakaṃ	v.dhak
.	punc

meba	adj
tā	cs.abs
bhālapye	v.n
ma	neg
teva	v.impst
dhaka	v.dhak
dhāyāva	cv.ant
.	punc

thava	p.refl
ta	case.dat
dhaka	v.dhak
kāsyaṃ	v.co
tayā	v.perf.part
mha	cs.anim
.	punc

rānicā	n
bodha	n
yāṅāva	cv.ant
.	punc

bho	interj
keheju	n
va	case.ass
bela	n
sa	case.loc.inan
jinaṃ	adv.place
heyakaṃ	v.perf.past
tayā	v.perf.part
.	punc

āva	adv.temp
chiji	n
anyonye	n
na	case.erg
sukhanaṃ	adv.place
conya	adj
dhakaṃ	v.dhak
dhāyāva	cv.ant
prabhū	n
(fn7b)	fol
svāmi	n
yā	case.gen
caraṇakamala	n
sa	case.loc.inan
.	punc

bhoka	n
puyāva	cv.ant
conaṃ	v.perf.past
|	punc
thanaṃ	adv.conj
li	cv.anter
thva	d.dem
sva	num
mhaṃ	cs.anim
thava	p.refl
deśa	n
sa	case.loc.inan
vayāva	cv.ant
.	punc

anega	d.quant
jātrā	n
yānyāva	cv.ant
.	punc

nānā	d.quant
bādya	n
thācakāva	cv.ant
sukhanaṃ	prep
coṅa	v.impst
juro	v.perf.past
||	punc

thathya	v.n
dhaka	v.dhak
putrikā	n
cha	num
mha	cs.anim
sena	case.erg.h
.	punc

rājā	n
bhojadeba	n
hāka	n
tvaṃ	v.co
juro	v.perf.past
||	punc

thathiṃgū	adj
parākrama	n
mahātyāgī	n
juvamha	n
yā	case.gen
siṃhāsana	n
sa	case.loc.inan
cha	num
dane	v.n
ma	neg
te	v.ipv
dhakaṃ	v.dhak
dhāyāva	cv.ant
putrikā	n
cha	num
mha	cs.anim
bosyaṃ	v.co
vaṅa	v.impst
julo	v.perf.past
||	punc

2	num.ar
||	punc

II	n.prop
punarbāra	adv.conj
putrikā	n
chasye	v.n
na	cl.focus
nona	v.impst
vāka	n
||	punc

bho	interj
rājā	n
bhojadeba	n
ji	p.pers
kha	v.impst
ma	neg
nyesyaṃ	v.perf.past
.	punc

āmo	d.dem
siṃhāsana	n
sa	case.loc.inan
bijyāya	v.n
ma	neg
te	v.ipv
||	punc

bho	interj
mahārājā	n
bikramādita	n
mahārājā	n
yā	case.gen
sabhā	n
dayakāva	cv.ant
.	punc

anega	d.quant
sabhāloka	n
muṅaṃ	case.erg.h.pl
coṅā	v.perf.part
bela	n
sa	case.loc.inan
.	punc

brāhmaṇa	n
cha	num
mha	cs.anim
vava	v.impst
.	punc

thva	d.dem
brāhmaṇa	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
mahārājā	n
duḥkhimha	p.correl
sadā	n
na	case.erg
duḥkhi	n
.	punc

sukhimha	p.correl
sadā	n
sukhi	n
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
.	punc

thana	n
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
brāhmaṇa	n
.	punc

āmo	d.dem
chu	p.interrog
kha	n
lhānā	v.perf.past
.	punc

ji	p.pers
na	case.erg
cha	p.pers
thathyaṃ	adv.conj
tavami	n
yāyaṃ	v.co
phayā	v.perf.part
dhakaṃ	v.dhak
bikramādita	n
rājā	n
na	case.erg
dhāyāva	cv.ant
.	punc

brāhmaṇa	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bhāgyana	n
ma	neg
bīvatola	n
chalapolasya	n
na	case.erg
phayīva	v.np
ma	neg
khu	v.impst
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

bikramādita	n
rājā	n
naṃ	case.erg
.	punc

thava	p.refl
maṃtri	n
koṭabāra	n
mahārāni	n
bonakala	n
choyāva	cv.ant
samadhāra	n
yātaṃ	v.perf.past
.	punc

bho	interj
maṃtri	n
pani	case.abs.h.pl
ṅahune	v.n
.	punc

thva	d.dem
brāhmaṇava	cv.ant
jiva	p.pers
saṃbāda	n
julo	v.perf.past
||	punc

āvanaṃ	adv.conj
ṅhā	cv.cond
.	punc

ji	p.pers
rājā	n
.	punc

āvanaṃ	adv.conj
li	cv.anter
.	punc

thva	d.dem
brāhmaṇa	n
rājā	n
juro	v.perf.past
.	punc

gathya	adv.inter
ji	p.pers
ta	case.dat
māna	n
yānā	v.perf.part
thyaṃ	post.abs
.	punc

thva	d.dem
brāhmaṇa	n
yāta	case.dat
māna	n
yāya	v.n
māla	v.perf.past
.	punc

ma	neg
yā	case.gen
ma	neg
gāka	v.perf.past
.	punc

dhaka	v.dhak
dhāyāva	cv.ant
.	punc

ji	p.pers
paradeśa	n
vane	v.n
dhāsyam	v.perf.past
.	punc

bikramāditya	n
rājā	n
naṃ	case.erg
.	punc

rājya	n
dhana	n
saṃpatti	n
.	punc

thva	d.dem
brāhmaṇa	n
yā	case.gen
julo	v.perf.past
dhakaṃ	v.dhak
fn28	fol
dhāyāva	cv.ant
.	punc

thva	d.dem
brāhmaṃ	n
rājā	n
yāṅaṃ	v.perf.past
tayāva	cv.ant
.	punc

thamaṃ	p.refl
thva	d.dem
brāhmaṇa	n
thya	post.abs
ṅanakāva	cv.ant
.	punc

paradeśa	n
vanaṃ	v.perf.past
||	punc

thana	n
kāntipurī	n
nagara	n
cha	num
guli	cs.inan
thyaṅāva	cv.ant
.	punc

thva	d.dem
deśa	n
sa	case.loc.inan
duhāyāva	cv.ant
.	punc

sola	n
julaṃ	v.perf.past
||	punc

thugu	n
deśa	n
yā	case.gen
.	punc

rājā	n
yā	case.gen
padmābatī	n
dhāyā	v.perf.part
mhyāca	n
cha	num
mha	cs.anim
du	v.impst
.	punc

thva	d.dem
rājā	n
yā	case.gen
rola	n
maṃtrī	n
yā	case.gen
.	punc

mhyāca	n
dharmābatī	n
dhāyā	v.perf.part
mha	cs.anim
cha	num
mha	cs.anim
du	v.impst
.	punc

thva	d.dem
ni	num
mhaṃ	cs.anim
ati	adv.deg
jāka	n
.	punc

thva	d.dem
nimhava	cv.ant
.	punc

maṃtrī	n
yā	case.gen
kāyava	cv.ant
ati	adv.deg
prīti	n
na	case.erg
juva	v.np
||	punc

cha	num
nhu	num.time
yā	case.gen
mātra	cl.focus
sa	case.loc.inan
*rānīcānaṃ	adv.place
(fn8a)	fol
dhālaṃ	v.perf.past
.	punc

bho	interj
maṃtrīcā	n
.	punc

ji	p.pers
bibahāra	n
yāyuva	v.np
julo	v.perf.past
.	punc

chiji	n
bāyuva	cv.ant
julo	v.perf.past
.	punc

bisye	v.n
vane	v.n
nuyo	v.perf.past
dhakaṃ	v.dhak
hāṅāva	cv.ant
.	punc

bhākhā	n
yāṅāva	cv.ant
.	punc

bho	interj
maṃtrīcā	n
chī	adv.dur
ṅhapā	v.perf.part
lātasāṃ	v.co
ji	p.pers
ṅhapā	n
lātasāṃ	v.perf.past
.	punc

thva	d.dem
deśa	n
bāhirī	n
sa	case.loc.inan
coṅa	v.impst
pauvā	n
sa	case.loc.inan
muṅāva	cv.ant
vane	v.n
dhakaṃ	v.dhak
bhākhā	n
yāṅāva	cv.ant
conaṃ	v.perf.past
||	punc

thana	n
thva	d.dem
rānī	n
yā	case.gen
bibahāra	n
yāya	v.n
u	d.dem
khunu	n
rātrī	n
sa	case.loc.inan
.	punc

rāni	n
padmābatī	n
na	case.erg
.	punc

dharmābati	n
salatāva	cv.ant
samadhāra	n
yātaṃ	v.perf.past
.	punc

bho	interj
maṃtrī	n
bhājucā	cv.cond
.	punc

thva	d.dem
deśa	n
yā	case.gen
samīpa	n
sa	case.loc.inan
coṅa	v.impst
pali	n
sa	case.loc.inan
nāpa	post.abs
rāya	v.n
.	punc

ji	p.pers
nhāpā	adv.temp
lātasāṃ	v.perf.past
.	punc

cha	num
nhāpā	adv.temp
lātasāṃ	n
thva	d.dem
pali	n
sa	case.loc.inan
nāpa	post.abs
rāya	v.n
nhāṃ	adv.dir
dhakaṃ	v.dhak
samadhāra	n
yānāva	cv.ant
.	punc

thva	d.dem
padmābatī	n
rānīva	cv.ant
.	punc

maṃtri	n
yā	case.gen
mhāca	n
dharmābatīva	cv.ant
nhāpā	adv.temp
lācakaṃ	v.perf.past
vaṅāva	cv.ant
.	punc

thva	d.dem
pali	n
sa	case.loc.inan
coṅa	v.impst
julo	v.perf.past
||	punc

thu	d.dem
kunhu	n
yā	case.gen
dīna	n
sa	case.loc.inan
thva	d.dem
bikramāditya	n
rājā	n
.	punc

paradeśi	n
vayāva	cv.ant
.	punc

rātrī	n
yā	case.gen
samaya	n
juyāva	cv.ant
.	punc

thva	d.dem
deśa	n
du	v.impst
hāya	v.n
ma	neg
chālā	v.impst
dhaka	v.dhak
bhālapāva	cv.ant
.	punc

deśa	n
bāhiri	n
sa	case.loc.inan
coṅa	v.impst
.	punc

thva	d.dem
rānī	n
bisya	v.co
coṅa	v.impst
palisaṃ	v.perf.past
bāsa	n
yāka	v.impst
||	punc

samadhāra	n
yāṅāmha	n
.	punc

maṃtrīcā	n
ma	neg
valaṃ	v.perf.past
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
bācātī	n
sa	case.loc.inan
.	punc

thva	d.dem
padmābativa	cv.ant
.	punc

dharmābativa	cv.ant
.	punc

nimhasenaṃ	v.perf.past
.	punc

bikramāditya	n
coṅa	v.impst
ma	neg
siva	v.np
.	punc

thva	d.dem
padmābatī	n
rānīcā	n
yā	case.gen
levalamha	n
maṃtrīcā	n
bhālapāva	cv.ant
bicāra	n
yātaṃ	v.perf.past
||	punc

aya	n
bhāju	n
jhāya	v.n
dhuna	v.impst
dhaka	v.dhak
dhālaṃ	v.perf.past
.	punc

thana	n
bikramādityanaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

vaya	v.n
dhunayo	v.perf.past
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

somhaṃ	adv.conj
nāpaṃ	post.ass
conaṃ	v.perf.past
.	punc

thva	d.dem
bela	n
sa	case.loc.inan
rānīnaṃ	v.perf.past
dhālaṃ	v.perf.past
.	punc

bho	interj
bhāju	n
.	punc

āva	adv.temp
chīji	n
sva	num
mhaṃ	cs.anim
satyanaṃ	case.erg.h
vaya	v.n
dhuno	v.perf.past
.	punc

āvanaṃ	adv.conj
li	cv.anter
yā	case.gen
.	punc

jimi	n
puruṣa	n
chī	n
julo	v.perf.past
.	punc

fn29	fol
sinhala	adj
chāhune	v.n
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thva	d.dem
bikramāditya	n
rājā	n
naṃ	case.erg
sinhala	n
chālaṃ	v.perf.past
.	punc

bhāg	adv.dir
yā	case.gen
bhabati	n
dhakaṃ	v.dhak
rānī	n
yāke	case.loc.an
chālaṃ	v.perf.past
||	punc

raṇḍā	n
bhabati	n
dhakaṃ	v.dhak
maṃtrī	n
yā	case.gen
mhyāca	n
yāke	case.loc.an
chālaṃ	v.perf.past
.	punc

thana	adv.man
thva	d.dem
bikramāditya	n
rājā	n
ati	adv.deg
kautuka	n
cāyāva	cv.ant
dhālaṃ	v.perf.past
.	punc

gathiṃgu	adj
āścarya	adj
thva	d.dem
.	punc

su	p.interrog
pani	case.abs.h.pl
khe	v.n
dhaka	v.dhak
ciṃtalapaṃ	v.co
conaṃ	v.perf.past
||	punc

thana	adv.man
nasacātī	n
sa	case.loc.inan
rājā	n
naṃ	case.erg
dhālaṃ	v.perf.past
.	punc

bho	interj
strīloka	n
pani	case.abs.h.pl
chimisye	n
na	case.erg
.	punc

ji	p.pers
su	p.interrog
bhālapā	v.perf.part
.	punc

ji	p.pers
thathiṃṅa	p.correl
.	punc

kuṣṭa	n
na	case.erg
thivamha	n
.	punc

ji	p.pers
lā	cl.inter
jurasā	cv.cond
.	punc

jvagi	n
thukā	evid
.	punc

lāle	v.n
tvaṃ	v.co
phoṅāva	cv.ant
nayāva	cv.ant
juyā	v.perf.part
.	punc

lihā	adv.dir
*huni	v.ipv
(fn8b)	fol
huni	v.ipv
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
.	punc

thana	adv.conj
maṃtrī	n
yā	case.gen
mhāca	n
jukva	v.rel.part
bese	v.n
vanaṃ	v.perf.past
||	punc

thva	d.dem
rānīnaṃ	adv.conj
dhālaṃ	v.perf.past
.	punc

bho	interj
prabhū	n
sa	case.loc.inan
.	punc

ji	p.pers
.	punc

bhābīnaṃ	v.perf.past
.	punc

chu	p.interrog
rava	n
juīva	cv.ant
.	punc

ji	p.pers
puruṣa	n
chī	n
jula	v.perf.past
.	punc

chī	adv.dur
dāsī	n
ji	p.pers
julo	v.perf.past
.	punc

ava	cv.ant
chu	p.indef
yāya	v.n
dhaka	v.dhak
bhoka	n
puyāva	cv.ant
nāpaṃ	post.ass
conaṃ	v.perf.past
||	punc

thana	adv.conj
thva	d.dem
rānī	n
padmābati	n
yā	case.gen
babuju	n
na	case.erg
mālakala	n
choyāṃ	n
.	punc

ruya	n
ke	case.loc.an
ma	neg
phava	v.impst
.	punc

thana	n
thva	d.dem
pali	n
sa	case.loc.inan
coṅa	v.impst
sukhuli	n
ulāva	cv.ant
svayāva	cv.ant
.	punc

thuthā	n
yogiva	cv.ant
nāpaṃ	post.ass
coṅa	v.impst
khaṅāva	cv.ant
.	punc

boṅāva	cv.ant
yaneyānaṃ	v.perf.past
.	punc

sātu	n
sālaṅāsyaṃ	v.perf.past
.	punc

gathyanaṃ	adv.conj
ma	neg
vayāva	cv.ant
rājā	n
yāke	case.loc.an
bimati	n
yāka	v.impst
julo	v.perf.past
||	punc

thanaṃ	adv.conj
li	cv.anter
rājā	n
naṃ	case.erg
bo	n
na	case.erg
bonakala	n
choka	v.impst
.	punc

yathyanaṃ	adv.conj
thva	d.dem
rānīcā	n
ma	neg
vaka	v.perf.past
.	punc

ma	neg
vayāva	cv.ant
.	punc

rājā	n
naṃ	case.erg
tyājalapaṃ	v.co
tāthu	n
julo	v.perf.past
||	punc

thana	n
cha	num
nhu	cs.time
yā	case.gen
abasala	n
sa	case.loc.inan
.	punc

rājā	n
pani	case.abs.h.pl
ahala	n
vane	v.n
dhaka	v.dhak
dhālaṃ	v.perf.past
.	punc

thva	d.dem
khavāta	n
tāyāva	cv.ant
.	punc

rānicāyāta	n
dhālaṃ	v.perf.past
||	punc

bho	interj
rānīcā	n
.	punc

chana	p.pers
babuju	n
.	punc

ahala	n
vane	v.n
dhāla	v.perf.past
.	punc

jiṃ	adv.freq
vane	v.n
.	punc

chi	num
na	case.erg
babuju	n
yāke	case.loc.an
śaḍa	n
cha	num
mha	cs.anim
phoṅāva	cv.ant
hiva	v.np
dhakaṃ	v.dhak
dhālaṃ	v.perf.past
.	punc

thana	n
padmābati	n
rānicānaṃ	v.co
dhālaṃ	v.perf.past
.	punc

khava	v.impst
khye	v.n
prabhū	n
svāmī	n
.	punc

babunaṃ	adv.conj
tyājalapaṃ	v.co
tayā	v.perf.part
mha	cs.anim
ji	p.pers
.	punc

ji	p.pers
vane	v.n
ma	neg
chālā	n
khye	v.n
dhakaṃ	v.dhak
dhāyāva	cv.ant
.	punc

thuthā	n
jvagi	n
puruṣanaṃ	v.co
dhālaṃ	v.perf.past
.	punc

---	n
puruṣa	n
yā	case.gen
bacana	n
ma	neg
nyene	v.n
ma	neg
chālāva	cv.ant
.	punc

babu	n
yāke	case.loc.an
vaṅāva	cv.ant
dhālaṃ	v.perf.past
.	punc

bho	interj
